gid,share_bin
90408,4
90412,2
90413,2
90414,2
90416,2
91114,1
91115,1
91116,1
91117,0
91118,0
91119,0
91120,0
91121,0
91122,0
91123,0
91124,4
91125,4
91126,4
91127,4
91128,4
91129,2
91130,2
91131,2
91132,2
91133,2
91134,2
91135,2
91145,0
91834,0
91835,0
91836,0
91837,0
91838,0
91839,0
91840,0
91841,0
91842,0
91843,0
91844,0
91845,0
91846,2
91847,2
91848,2
91849,2
91850,2
91851,2
91852,2
91853,2
91854,2
91855,2
91856,2
91865,2
92554,0
92555,0
92556,0
92557,0
92558,0
92559,0
92560,0
92561,0
92562,0
92563,0
92564,0
92565,0
92566,2
92567,2
92572,2
92573,2
92574,2
92584,2
92585,2
92586,2
92611,0
93270,0
93271,0
93272,0
93273,0
93274,0
93275,0
93276,0
93277,0
93278,0
93279,0
93280,0
93281,0
93282,0
93283,0
93284,0
93285,0
93286,2
93287,2
93293,2
93294,2
93296,2
93303,2
93304,2
93305,2
93306,2
93307,0
93308,0
93329,0
93330,0
93331,0
93332,0
93333,0
93334,0
93990,0
93991,0
93992,0
93993,0
93994,0
93995,0
93996,0
93997,0
93998,0
93999,0
94000,0
94001,0
94002,0
94003,0
94004,0
94005,0
94006,0
94007,0
94013,2
94014,2
94016,2
94019,2
94022,2
94023,2
94024,2
94025,2
94026,2
94027,0
94028,0
94029,0
94030,0
94048,0
94049,0
94050,0
94051,0
94052,0
94053,0
94054,0
94055,0
94710,0
94711,0
94712,0
94713,0
94714,0
94715,0
94716,0
94717,0
94718,0
94719,0
94720,0
94721,0
94722,0
94723,0
94724,0
94725,0
94726,0
94727,0
94733,2
94734,2
94735,2
94736,2
94738,2
94740,2
94741,2
94742,2
94743,4
94744,2
94745,3
94746,2
94747,0
94748,0
94749,0
94750,0
94751,0
94768,0
94769,0
94770,0
94771,0
94772,0
94773,0
94774,0
94775,0
95430,0
95431,0
95432,3
95433,3
95434,3
95435,3
95436,3
95437,0
95438,0
95439,0
95440,0
95441,0
95442,0
95443,0
95444,0
