"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","traceability","qualification","childunder15","childunder15work","project"
"1821","codmine02198","Souma 2",2015-10-02,"Ituri",123,"No data","No data","Or",NA,NA,"None observed","Observed","Maï-Maï Simba (ex-Morgan - Mangaribi)","Permanent","Maï-Maï Simba (ex-Morgan - Manu)","Occasionnelle",NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1822","codmine02200","Widambo 1",2023-03-27,"Sud-Kivu",60,"Less than 2h walk","Less than 2h walk","Cassitérite",NA,NA,"No data","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Chefferie",NA,NA,"iTSCI","Vert","Observed","Lavage, Traiter les déchets","IPIS - Madini"
"1823","codmine02201","Kisasa",2023-03-16,"Sud-Kivu",23,"Less than 2h walk","Less than 2h walk","Cassitérite",NA,NA,"No data","Observed","FARDC","Une fois par mois",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"iTSCI","Vert","None observed",NA,"IPIS - Madini"
"1824","codmine02202","Yanonge",2015-10-14,"Ituri",89,"No data","No data","Or","Coltan",NA,"None observed","Observed","Maï-Maï Simba (ex-Morgan - Mangaribi)","Permanent","Maï-Maï Simba (ex-Morgan - Manu)","Occasionnelle",NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1825","codmine02295","Bwalala",2021-10-08,"Sud-Kivu",40,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","None observed","FARDC",NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"1826","codmine02298","Camp Mulamba",2021-10-05,"Sud-Kivu",20,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE",NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"1827","codmine02311","Kalingi Kamutchanga",2018-09-19,"Sud-Kivu",300,"No data","No data","Or",NA,NA,"None observed","Observed","FARDC","Une fois par semaine",NA,NA,NA,NA,"SAEMAPE","Division des mines","DPMR","Police des Mines","No traceability program","None","Observed","Lavage, Concassage, Transport des minerais, Creuser, Traiter les déchets","IPIS - Ulula 2018"
"1828","codmine02323","Kigumo",2021-10-04,"Sud-Kivu",150,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"1829","codmine02354","Mont Ngaliema",2018-09-20,"Sud-Kivu",1250,"Less than 2h walk","No data","Or",NA,NA,"Observed","Observed","FARDC","Une fois par mois",NA,NA,NA,NA,"SAEMAPE","Division des mines","Police des Mines","Chefferie","No traceability program","None","None observed",NA,"IPIS - Ulula 2018"
"1830","codmine02357","Ndobia",2015-11-10,"Sud-Kivu",50,"No data","No data","Or",NA,NA,"None observed","Observed","FARDC","Permanent",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1831","codmine02383","Chantier 12",2019-11-22,"Maniema",56,"Car or Motorbike","Car or Motorbike","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"iTSCI","None","Observed","Creuser, Lavage","IPIS - Due Diligence"
"1832","codmine02386","Congo",2017-04-14,"Tanganyika",800,"Car or Motorbike","No data","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE",NA,"Division des mines","Police des Mines","iTSCI","Vert","No data",NA,"IPIS - IOM 2016-2018"
"1833","codmine02389","Disase",2018-10-22,"Haut-Lomami",60,"Car or Motorbike","No data","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE",NA,NA,NA,"iTSCI","None","Observed","Lavage, Concassage, Transport des minerais","IPIS - IOM 2016-2018"
"1834","codmine02393","Hewa Bora",2022-08-03,"Maniema",0,"No data","No data","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - USAID"
"1835","codmine02394","Hopital",2022-09-11,"Tanganyika",0,"No data","No data","Coltan",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","Vert","No data",NA,"IPIS - USAID"
"1836","codmine02397","Kahemba",2018-08-17,"Tanganyika",30,"Car or Motorbike","No data","Coltan",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"iTSCI","Vert","None observed",NA,"IPIS - Ulula 2018"
"1837","codmine02400","Kahompole",2017-04-06,"Tanganyika",300,"Car or Motorbike","No data","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE",NA,"Division des mines","Police des Mines","iTSCI","None","No data",NA,"IPIS - IOM 2016-2018"
