"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","traceability","qualification","childunder15","childunder15work","project"
"1","codmine00001","Mayi-Tatu",2013-03-27,"Ituri",150,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"2","codmine00002","Mabanga",2013-03-27,"Ituri",115,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"3","codmine00003","Molende",2013-03-27,"Ituri",130,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"4","codmine00004","Embouchure",2013-03-27,"Ituri",135,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"5","codmine00005","Apumu-Atandele-Jerusalem-Luka Yayo",2013-03-27,"Ituri",270,"No data","No data","Or",NA,NA,"No data","Observed","FRPI","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"6","codmine00006","Tambala 1",2013-03-28,"Ituri",145,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"7","codmine00007","Tambala 2",2013-03-28,"Ituri",90,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"8","codmine00008","Fametal (drague)",2013-03-29,"Ituri",NA,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"9","codmine00009","Tindo",2013-03-29,"Ituri",78,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"10","codmine00010","Tambala 3",2013-03-29,"Ituri",105,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"11","codmine00011","Coomid & Gold Dragon (drague)",2013-03-29,"Ituri",0,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"12","codmine00012","Kibali Ituri",2013-03-29,"Ituri",150,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"13","codmine00013","Dieu Merci 1",2018-06-04,"Ituri",56,"Less than 2h walk","No data","Or",NA,NA,"None observed","None observed","FARDC","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","Observed","Lavage","IPIS - IOM 2016-2018"
"14","codmine00014","Dieu Merci 2",2013-03-29,"Ituri",110,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"15","codmine00015","Batela Mokua",2013-03-29,"Ituri",170,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"16","codmine00016","Dunamulimu",2013-03-30,"Ituri",100,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"17","codmine00017","Sinamakosa",2013-03-30,"Ituri",180,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"18","codmine00018","Ebenezer & Bamunoba",2013-03-30,"Ituri",150,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"19","codmine00019","Tujenge",2013-04-01,"Ituri",89,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"20","codmine00020","Liogo",2013-04-01,"Ituri",800,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"21","codmine00021","Umoja renouveau",2013-04-02,"Ituri",70,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"22","codmine00022","Dieu Merci/Balazana",2013-04-02,"Ituri",100,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"23","codmine00023","Lotcha",2013-04-02,"Ituri",120,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"24","codmine00024","Gbatoti",2013-04-02,"Ituri",230,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"25","codmine00025","Bankoko",2013-04-03,"Ituri",150,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"26","codmine00026","Bankoko 1",2013-04-04,"Ituri",120,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"27","codmine00027","Lina",2013-04-04,"Ituri",150,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"28","codmine00028","Gola",2013-04-04,"Ituri",140,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"29","codmine00029","Labe",2013-04-04,"Ituri",165,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"30","codmine00030","Ngasu",2013-04-05,"Ituri",110,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"31","codmine00031","Cinquantenaire",2018-06-18,"Ituri",326,"Less than 2h walk","No data","Or",NA,NA,"None observed","Observed","FARDC","Une fois par semaine",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","DGRPI","No traceability program","None","Observed","Lavage, Transport des minerais","IPIS - IOM 2016-2018"
"32","codmine00032","Mapendo",2013-04-05,"Ituri",300,"No data","No data","Or",NA,NA,"No data","Observed","FRPI","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"33","codmine00033","Opili",2013-04-05,"Ituri",280,"No data","No data","Or",NA,NA,"No data","Observed","FRPI","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"34","codmine00034","Sodu-Mopa",2013-04-05,"Ituri",300,"No data","No data","Or",NA,NA,"No data","Observed","FRPI","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"35","codmine00035","Singo",2013-04-05,"Ituri",180,"No data","No data","Or",NA,NA,"No data","Observed","FRPI","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"36","codmine00036","Ngida",2013-04-06,"Ituri",300,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"37","codmine00037","Santa-Maria",2022-07-05,"Ituri",280,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","DGI","No traceability program","None","None observed",NA,"IPIS - PDEC"
"38","codmine00038","Libreville",2022-06-29,"Ituri",1500,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","ANR","Chefferie","No traceability program","None","None observed",NA,"IPIS - PDEC"
"39","codmine00039","Adombi",2022-06-28,"Ituri",120,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","DGI","Chefferie","No traceability program","None","Observed","Concassage, Lavage, Traiter les déchets","IPIS - PDEC"
"40","codmine00040","Canon",2022-06-28,"Ituri",10,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","DGI","No traceability program","None","Observed","Plongeur, Traiter les déchets","IPIS - PDEC"
"41","codmine00041","Mopa",2022-06-29,"Ituri",284,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,"ANR","No traceability program","None","Observed","Concassage, Lavage, Traiter les déchets","IPIS - PDEC"
"42","codmine00042","Dieu Merci",2013-06-28,"Ituri",85,"No data","No data","Or",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"43","codmine00043","Mabele-Mokonzi",2022-06-26,"Ituri",820,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","ANR","DGM","No traceability program","None","Observed","Creuser, Concassage, Lavage, Traiter les déchets","IPIS - PDEC"
"44","codmine00044","Mbuji-Maï",2022-06-27,"Ituri",1200,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","ANR","DGM","No traceability program","None","Observed","Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure","IPIS - PDEC"
"45","codmine00045","Monde Arabe",2022-06-27,"Ituri",40,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","ANR","Chefferie","No traceability program","None","Observed","Traiter les déchets","IPIS - PDEC"
"46","codmine00046","Vatican",2022-06-27,"Ituri",300,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"FFN","SAEMAPE","Division des mines","ANR","No traceability program","None","Observed","Creuser, Lavage, Traiter les déchets","IPIS - PDEC"
"47","codmine00047","Poto-Poto",2013-06-29,"Ituri",250,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"48","codmine00048","Manzidaka",2022-07-12,"Ituri",27,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - PDEC"
"49","codmine00049","Molende",2013-06-29,"Ituri",75,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"50","codmine00050","La Grâce",2022-07-06,"Ituri",185,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","DGI","Environnement, Énergie, DGRPI, Économie, FARDC","No traceability program","None","None observed",NA,"IPIS - PDEC"
"51","codmine00051","Indi",2022-07-06,"Ituri",100,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","DGI","No traceability program","None","Observed","Concassage, Lavage, Traiter les déchets","IPIS - PDEC"
"52","codmine00052","Niania riche",2022-06-20,"Ituri",45,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Quotidien","Police Nationale Congolaise (sauf PMH)","Quotidien",NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - PDEC"
"53","codmine00053","Tokomeka",2023-03-21,"Ituri",3,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed","FARDC","Aléatoire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","Vert","None observed",NA,"IPIS - Madini"
"54","codmine00054","Ndiabonge",2018-08-02,"Ituri",25,"Less than 2h walk","No data","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","Vert","None observed",NA,"IPIS - Ulula 2018"
"55","codmine00055","Kafiawema",2023-04-07,"Ituri",19,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE",NA,NA,NA,"No traceability program","Vert","Observed","Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure","IPIS - Madini"
"56","codmine00056","Mbembese",2023-04-11,"Ituri",57,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","Vert","Observed","Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure","IPIS - Madini"
"57","codmine00057","Cinquantenaire",2023-03-24,"Ituri",6,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","Observed","FARDC","Aléatoire","ADF","Aléatoire",NA,NA,NA,NA,NA,NA,"No traceability program","Jaune","None observed",NA,"IPIS - Madini"
"58","codmine00058","Mont Ngaliema",2023-04-12,"Ituri",7,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","Observed","FARDC","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"59","codmine00059","Jerusalem",2013-07-04,"Ituri",NA,"No data","No data","Or",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"60","codmine00060","Camp Kisangani",2017-05-30,"Ituri",50,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","DGRPI","Chefferie","No traceability program","None","None observed",NA,"IPIS - PPA Mambasa 2017"
"61","codmine00061","Tengama",2017-05-30,"Ituri",60,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","DGRPI","Chefferie",NA,"No traceability program","None","None observed",NA,"IPIS - PPA Mambasa 2017"
"62","codmine00062","Gbado",2017-05-27,"Ituri",10,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - PPA Mambasa 2017"
"63","codmine00063","Bomba",2017-05-28,"Ituri",30,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"Division des mines",NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - PPA Mambasa 2017"
"64","codmine00064","Mabukulu",2023-04-22,"Ituri",30,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois tous les 15 jours",NA,NA,NA,NA,"SAEMAPE","DGRPI","Division des mines",NA,"No traceability program","Vert","Observed","Creuser, Lavage, Traiter les déchets","IPIS - Madini"
"65","codmine00065","Togo",2023-04-22,"Ituri",13,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","Vert","None observed",NA,"IPIS - Madini"
"66","codmine00066","Loleko",2017-04-28,"Ituri",20,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","Observed","FARDC","Une fois tous les 15 jours",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - PPA Mambasa 2017"
"67","codmine00067","Shaba",2017-05-02,"Ituri",9,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - PPA Mambasa 2017"
"68","codmine00068","Kanzambu",2023-04-21,"Ituri",23,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","DGRPI",NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"69","codmine00069","Pede",2023-04-21,"Ituri",26,"Car or Motorbike","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","DGRPI",NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"70","codmine00070","Mandelendele",2023-04-29,"Ituri",21,"Less than 2h walk","More than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","Observed","Creuser, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"71","codmine00071","Mapeda",2023-04-29,"Ituri",15,"Less than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","Vert","None observed",NA,"IPIS - Madini"
"72","codmine00072","Apamakele",2017-02-23,"Ituri",60,"Less than 2h walk","Less than 2h walk","Or","Diamant",NA,"None observed","Observed","FARDC","Une fois par semaine",NA,NA,NA,NA,"SAEMAPE","Division des mines","DGI",NA,"No traceability program","None","None observed",NA,"IPIS - PPA Mambasa 2017"
"73","codmine00073","Mandulu",2023-04-30,"Ituri",18,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois tous les 15 jours",NA,NA,NA,NA,"SAEMAPE",NA,NA,NA,"No traceability program","None","Observed","Creuser, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"74","codmine00074","Masikini",2023-04-13,"Ituri",26,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","Vert","None observed",NA,"IPIS - Madini"
"75","codmine00075","Mane de guerre",2023-04-13,"Ituri",25,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","Observed","Creuser, Lavage, Traiter les déchets","IPIS - Madini"
"76","codmine00076","Maroc",2023-04-16,"Ituri",12,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","Observed","Creuser, Lavage, Traiter les déchets","IPIS - Madini"
"77","codmine00077","Disco",2023-04-06,"Ituri",20,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"78","codmine00078","Camp Mambasa",2023-04-04,"Ituri",6,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","Vert","None observed",NA,"IPIS - Madini"
"79","codmine00079","Bulembi",2017-04-28,"Ituri",27,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","ANR","Chefferie","No traceability program","None","None observed",NA,"IPIS - PPA Mambasa 2017"
"80","codmine00080","Beluwe",2018-08-09,"Ituri",10,"Car or Motorbike","No data","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - Ulula 2018"
"81","codmine00081","Tindika",2021-07-02,"Ituri",120,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","DGRPI",NA,"No traceability program","Jaune","Observed","Creuser, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"82","codmine00082","Mawulo",2013-09-04,"Ituri",45,"No data","No data","Or",NA,NA,"No data","None observed","FARDC","Temporaire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"83","codmine00083","Kandate Makele",2023-03-27,"Ituri",72,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","DGRPI",NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"84","codmine00084","Lwemba mines",2013-09-05,"Ituri",85,"No data","No data","Or",NA,NA,"No data","None observed","FARDC","Temporaire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"85","codmine00085","Jerusalem",2023-03-30,"Ituri",115,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","DGRPI",NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"86","codmine00086","Ngohu",2017-06-17,"Ituri",17,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE",NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - PPA Mambasa 2017"
"87","codmine00088","Kabanda",2013-09-06,"Ituri",60,"No data","No data","Or",NA,NA,"No data","None observed","FARDC","Temporaire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"88","codmine00089","Kibiri",2017-06-15,"Ituri",19,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","DGRPI","Environnement",NA,"No traceability program","None","None observed",NA,"IPIS - PPA Mambasa 2017"
"89","codmine00090","Kotakoli",2023-03-31,"Ituri",86,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire","ADF","Aléatoire",NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","Observed","Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure","IPIS - Madini"
"90","codmine00091","Malindibu",2017-06-17,"Ituri",25,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - PPA Mambasa 2017"
"91","codmine00092","Sinai",2017-06-17,"Ituri",6,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - PPA Mambasa 2017"
"92","codmine00093","Rwenzori",2013-09-07,"Ituri",35,"No data","No data","Or",NA,NA,"No data","None observed","FARDC","Temporaire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"93","codmine00094","Camp Lolwa",2013-09-07,"Ituri",25,"No data","No data","Or",NA,NA,"No data","None observed","FARDC","Temporaire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"94","codmine00095","Mepunga",2013-09-07,"Ituri",32,"No data","No data","Or",NA,NA,"No data","None observed","FARDC","Temporaire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"95","codmine00096","Elake",2013-09-08,"Ituri",60,"No data","No data","Or",NA,NA,"No data","None observed","FARDC","Temporaire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"96","codmine00097","Masenze",2022-04-05,"Ituri",13,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","Observed","Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"97","codmine00098","Mandimo 1",2023-04-19,"Ituri",82,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","DGRPI",NA,"No traceability program","None","Observed","Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure","IPIS - Madini"
"98","codmine00099","Mataha",2023-04-20,"Ituri",0,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"99","codmine00100","Camp Yolo",2017-05-26,"Ituri",4,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - PPA Mambasa 2017"
"100","codmine00101","Camp Base",2023-04-17,"Ituri",318,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","DGRPI",NA,"No traceability program","None","Observed","Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure","IPIS - Madini"
